Date,Open,High,Low,Close,Adj Close,Volume
2015-03-31,25.636999,25.799999,25.570000,25.625000,24.370661,117600
2015-04-01,25.667500,25.705000,25.434999,25.667500,24.411079,95200
2015-04-02,25.709999,25.910000,25.639999,25.910000,24.641710,50200
2015-04-06,26.110001,26.250000,25.995001,26.160000,24.879473,69400
2015-04-07,25.844999,25.905001,25.629999,25.667500,24.411079,79200
2015-04-08,25.889999,25.965000,25.639999,25.730000,24.470522,116600
2015-04-09,25.915001,25.959999,25.750000,25.795000,24.532341,55800
2015-04-10,25.855000,25.950001,25.785000,25.924999,24.655975,57200
2015-04-13,25.445000,25.530001,25.237499,25.305000,24.066324,132800
2015-04-14,25.385500,25.549999,25.318501,25.530001,24.280312,42400
2015-04-15,25.309999,25.375000,25.000000,25.290001,24.052059,74400
2015-04-16,25.035000,25.201000,24.820000,25.160000,23.928423,75000
2015-04-17,24.927500,24.965000,24.510000,24.725000,23.514715,118000
2015-04-20,24.497499,24.520000,24.250000,24.270000,23.081987,94400
2015-04-21,24.334999,24.334999,24.040001,24.260000,23.072477,58400
2015-04-22,24.290001,24.355000,24.125000,24.192499,23.008280,250400
2015-04-23,24.232000,24.875000,24.115000,24.600000,23.395834,222000
2015-04-24,24.851999,25.305000,24.690001,25.305000,24.066324,1319400
2015-04-27,26.125000,26.410000,26.080000,26.250000,24.965067,176800
2015-04-28,26.105000,26.155001,25.740000,25.889999,24.622688,76000
2015-04-29,25.687500,25.725000,25.320000,25.540001,24.289822,90800
2015-04-30,25.450001,25.545000,25.309999,25.410000,24.166185,39800
2015-05-01,24.965000,25.660000,24.825001,25.125000,23.895136,102200
2015-05-04,24.895000,25.254999,24.799999,24.799999,23.586042,122000
2015-05-05,24.895000,25.002501,24.525000,24.530001,23.329262,233000
2015-05-06,24.645000,24.754999,24.190001,24.525000,23.324507,105400
2015-05-07,24.815001,25.025000,24.745001,24.850000,23.633596,87400
2015-05-08,25.014999,25.379999,25.014999,25.320000,24.080589,78600
2015-05-11,25.115000,25.170000,24.940001,25.035000,23.809540,29200
2015-05-12,24.837999,24.844999,24.410000,24.514999,23.314995,174400
2015-05-13,24.785000,24.955000,24.594999,24.700001,23.490940,45400
2015-05-14,25.010000,25.190001,24.950001,25.190001,23.956955,36000
2015-05-15,24.690001,24.745001,24.431999,24.695000,23.486185,48800
2015-05-18,25.155001,25.370001,25.125000,25.195000,23.961708,50800
2015-05-19,25.485001,25.900000,25.475000,25.802500,24.539473,70800
2015-05-20,25.674999,25.830000,25.555000,25.672501,24.415836,88800
2015-05-21,25.440001,25.572500,25.440001,25.540001,24.289822,66600
2015-05-22,25.315001,25.365000,25.195000,25.209999,23.975973,65200
2015-05-26,24.865000,24.865000,24.459999,24.559999,23.357792,111800
2015-05-27,24.420000,24.940001,24.375000,24.830000,23.614576,47800
2015-05-28,24.434999,24.590000,24.250000,24.565001,23.362547,79200
2015-05-29,24.505501,24.559999,24.090000,24.215000,23.029680,87600
2015-06-01,24.190001,24.209999,23.809999,23.995001,22.820450,130000
2015-06-02,23.934999,24.075001,23.829500,24.062500,22.884645,224800
2015-06-03,24.260000,24.465000,24.195000,24.282499,23.093876,51400
2015-06-04,24.174999,24.575001,23.995001,24.080000,22.901287,58000
2015-06-05,23.769501,23.945000,23.549999,23.735001,22.573175,90000
2015-06-08,23.415001,23.650000,23.415001,23.572500,22.418631,66400
2015-06-09,23.365000,23.575001,23.215000,23.415001,22.268841,87200
2015-06-10,24.120001,24.355000,23.975000,24.320000,23.129541,75000
2015-06-11,24.325001,24.379999,24.030001,24.197500,23.013037,129200
2015-06-12,23.799999,23.975000,23.570000,23.875000,22.706322,82600
2015-06-15,23.180000,23.514999,23.135000,23.469999,22.321146,123800
2015-06-16,23.320000,23.440001,23.219999,23.379999,22.235554,55600
2015-06-17,23.184999,23.402500,23.129999,23.317499,22.176111,183200
2015-06-18,23.049999,23.795000,23.030001,23.537500,22.385344,99200
2015-06-19,23.379999,23.520000,23.285000,23.389999,22.245062,115400
2015-06-22,24.160999,24.575001,24.160000,24.330000,23.139050,159600
2015-06-23,24.370001,24.535000,24.299999,24.448000,23.251276,111200
2015-06-24,24.040001,24.180000,23.934999,24.062500,22.884645,56400
2015-06-25,24.215000,24.215000,23.995001,24.110001,22.929819,38800
2015-06-26,24.240000,24.451500,24.129999,24.365000,23.172338,171600
2015-06-29,23.605000,23.737499,23.270000,23.280001,22.140448,100200
2015-06-30,23.535000,23.600000,23.004999,23.155001,22.021566,171200
2015-07-01,23.645000,23.915001,23.605000,23.815001,22.649260,237600
2015-07-02,23.594999,23.594999,23.424999,23.559999,22.406742,88400
2015-07-06,22.955000,23.260000,22.865000,22.902500,21.781427,89800
2015-07-07,22.520000,22.870001,22.174999,22.870001,21.750519,96000
2015-07-08,22.137501,22.174999,21.785000,21.870001,20.799467,128200
2015-07-09,22.565001,22.625000,22.350000,22.355000,21.260725,106800
2015-07-10,22.719999,22.930000,22.570000,22.930000,21.807581,119200
2015-07-13,22.727501,22.730000,22.545000,22.620001,21.512756,87800
2015-07-14,22.004999,22.395000,21.980000,22.325001,21.232195,258600
2015-07-15,21.795000,21.855000,21.695000,21.772499,20.706739,92400
2015-07-16,22.105000,22.240000,22.014999,22.145000,21.061007,121000
2015-07-17,22.155001,22.209999,21.934999,22.139999,21.056252,1289800
2015-07-20,21.670000,21.860001,21.650000,21.795000,20.728140,126800
2015-07-21,21.690001,21.815001,21.639999,21.806999,20.739550,58000
2015-07-22,21.260000,21.520000,21.230000,21.417500,20.369116,194000
2015-07-23,21.690001,21.799999,21.584999,21.665001,20.604502,79200
2015-07-24,21.030001,21.059999,20.611500,20.660000,19.648697,340200
2015-07-27,20.725000,20.764999,20.395000,20.410000,19.410933,587200
2015-07-28,20.802500,21.090000,20.715000,20.995001,19.967300,226400
2015-07-29,20.415001,20.615000,20.370001,20.535000,19.529816,153000
2015-07-30,20.365000,20.365000,20.110001,20.190001,19.201704,183200
2015-07-31,20.270000,20.344999,20.125000,20.174999,19.187435,338400
2015-08-03,20.264999,20.320000,20.160000,20.250000,19.258766,128800
2015-08-04,20.375000,20.400000,20.195000,20.254999,19.263519,273000
2015-08-05,20.889999,20.959999,20.760000,20.830000,19.810375,833400
2015-08-06,20.790001,20.830000,20.674999,20.705000,19.691494,96400
2015-08-07,20.799999,21.059999,20.770000,20.985001,19.957788,50800
2015-08-10,21.075001,21.415001,21.031000,21.400000,20.352472,69200
2015-08-11,20.639999,20.889999,20.444000,20.540001,19.534573,221600
2015-08-12,20.125000,20.139999,19.840000,20.055000,19.073313,208800
2015-08-13,20.067499,20.137501,19.980000,20.049999,19.068554,89800
2015-08-14,20.045000,20.145500,19.975000,20.087500,19.104219,160800
2015-08-17,19.695000,19.750000,19.625000,19.700001,18.735689,142400
2015-08-18,19.490000,19.504999,19.225000,19.250000,18.307714,446400
2015-08-19,19.020000,19.145000,18.915001,19.070000,18.136526,335200
2015-08-20,19.090000,19.110001,18.639999,18.650000,17.737085,180800
2015-08-21,18.722500,18.950001,18.455000,18.540001,17.632471,205200
2015-08-24,18.180000,18.891500,17.889999,18.430000,17.527855,360400
2015-08-25,19.350000,19.370001,18.510000,18.629999,17.718065,282600
2015-08-26,19.065001,19.145000,18.700001,19.115000,18.179325,242200
2015-08-27,19.129999,19.334999,19.094999,19.260000,18.317226,246000
2015-08-28,18.969999,19.068501,18.860001,18.995001,18.065199,167400
2015-08-31,18.687500,18.709999,18.545000,18.620001,17.708555,146800
2015-09-01,18.280001,18.292500,18.030001,18.075001,17.190231,152600
2015-09-02,18.132500,18.132500,17.844999,17.955000,17.076107,299600
2015-09-03,18.184999,18.334999,18.025000,18.049999,17.166456,134200
2015-09-04,17.834999,17.910000,17.665001,17.789499,16.918707,456400
2015-09-08,18.477501,18.615000,18.445000,18.615000,17.703798,142200
2015-09-09,19.103001,19.174999,18.700001,18.700001,17.784639,60600
2015-09-10,18.713499,18.915001,18.705000,18.870001,17.946318,91000
2015-09-11,18.777500,18.950001,18.750000,18.937500,18.010513,56600
2015-09-14,18.674999,18.750000,18.530001,18.732500,17.815548,68600
2015-09-15,18.892500,18.945000,18.790001,18.882500,17.958204,119200
2015-09-16,18.797501,18.969999,18.745001,18.950001,18.022402,62600
2015-09-17,19.025000,19.183001,18.850000,19.014999,18.084217,66600
2015-09-18,18.336000,18.457500,18.129999,18.155001,17.266317,447200
2015-09-21,14.860000,15.085000,14.790000,15.050000,14.313305,6420000
2015-09-22,14.960000,14.960000,12.200000,12.720000,12.097359,17398400
2015-09-23,13.435000,13.815000,13.025000,13.550000,12.886730,17673000
2015-09-24,13.500000,13.595000,13.255000,13.580000,12.915261,9236200
2015-09-25,12.927500,13.040000,12.613500,12.840000,12.211484,7421200
